len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
8001	8001	0.811748696	0.65625	0.7890625	0.0078125	0.800993152	68	0	10931.69651	69.27923135	0	7814.930233	138.3820755	0	10427.10968	78.61244541	0	62.75294118	656.4127907	0	10690.09108	73.67480317
8001	8001	0.781222123	0.59375	0.734375	0.0078125	0.772846678	93	0	10257.09167	81.89329535	0	6756.4	169.9558824	0	9285.111111	102.1148649	0	62.75294118	656.4127907	0	10077.87072	85.43010492
8001	8001	0.783832068	0.7109375	0.7578125	0.0078125	0.775795744	93	0	10313.44473	80.79794692	0	8825.345455	112.6472603	0	9762.226415	91.86333333	0	62.75294118	656.4127907	0	10140.69624	84.18095845
8001	8001	0.739897615	0.578125	0.7265625	0.0078125	0.73342425	80	0	9395.936209	99.67440841	0	6506.307692	178.240099	0	9129.97546	105.5938914	0	62.75294118	656.4127907	0	9266.129433	102.5365727
8001	8001	0.577352157	0.4453125	0.5703125	0.0078125	0.574403336	208	0	6494.080222	178.6541122	0	4583.487437	255.8878378	0	6383.311475	182.4440299	0	62.75294118	656.4127907	0	6447.54749	180.2375343
8001	8001	0.589218222	0.421875	0.5859375	0.0078125	0.587220486	229	0	6683.294416	172.3418137	0	4277.762376	271.0961538	0	6630.662983	174.0775862	0	62.75294118	656.4127907	0	6651.216358	173.3979265
8001	8001	0.560863619	0.390625	0.625	0.0078125	0.556205125	168	0	6236.337112	187.5847312	0	3883.980583	292.1713483	0	7273.636364	153.8653846	0	62.75294118	656.4127907	0	6164.583747	190.1421784
8001	8001	0.639273623	0.53125	0.609375	0.0078125	0.635877754	207	0	7517.790998	146.7200526	0	5787.957447	204.1071429	0	7012.11236	161.8325243	0	62.75294118	656.4127907	0	7459.240437	148.4087102
8001	8001	0.628082331	0.4765625	0.5703125	0.0078125	0.619952291	180	0	7325.930481	152.3117724	0	5005.753846	236.3611111	0	6383.311475	182.4440299	0	62.75294118	656.4127907	0	7188.502606	156.4223908
8001	8001	0.513311227	0.2734375	0.4765625	0.0078125	0.507709056	318	0	5525.034158	214.430273	0	2534.253394	380.4156442	0	5005.753846	236.3611111	0	62.75294118	656.4127907	0	5444.220073	217.7044607
8001	8001	0.493966888	0.34375	0.421875	0.0078125	0.489898877	294	0	5248.528787	225.8400639	0	3321.169811	325.622093	0	4277.762376	271.0961538	0	62.75294118	656.4127907	0	5191.282695	228.2771865
8001	8001	0.469770866	0.359375	0.4453125	0.0078125	0.471250258	307	0	4912.514884	240.5342787	0	3505.2	314.2155172	0	4583.487437	255.8878378	0	62.75294118	656.4127907	0	4932.754149	239.6219735
8001	8001	0.471487794	0.28125	0.421875	0.0078125	0.464689038	294	0	4936.007473	239.4756621	0	2618.509091	374.0304878	0	4277.762376	271.0961538	0	62.75294118	656.4127907	0	4843.288532	243.6821572
8001	8001	0.453097989	0.21875	0.4140625	0.0078125	0.453039101	269	0	4687.093283	250.9444775	0	1965.157895	427.4038462	0	4177.862069	276.2776243	0	62.75294118	656.4127907	0	4686.305711	250.9816694
8001	8001	0.418575741	0.234375	0.3671875	0.0078125	0.417756182	429	0	4235.453565	273.2773535	0	2124.159292	413.5537975	0	3598.535885	308.61	0	62.75294118	656.4127907	0	4224.971119	273.8207529
8001	8001	0.406957288	0.3046875	0.390625	0.0078125	0.408208103	371	0	4087.856819	281.0399662	0	2875.935484	355.3338323	0	3883.980583	292.1713483	0	62.75294118	656.4127907	0	4103.643239	280.1981091
8001	8001	0.400561207	0.2109375	0.3515625	0.0078125	0.401731717	358	0	4007.518421	285.3683321	0	1886.69869	434.4629032	0	3412.748815	319.8858382	0	62.75294118	656.4127907	0	4022.172624	284.5732696
8001	8001	0.376206065	0.296875	0.4375	0.0078125	0.372883599	383	0	3707.397422	302.2182629	0	2789.33945	361.4909639	0	4480.56	260.9021739	0	62.75294118	656.4127907	0	3667.152121	304.5632275
8001	8001	0.351895735	0.203125	0.328125	0.0078125	0.350532016	422	0	3416.674335	319.642638	0	1808.921739	441.6136364	0	3140.579439	337.2970588	0	62.75294118	656.4127907	0	3400.619694	320.6386621
8001	8001	0.326964612	0.171875	0.2890625	0.0078125	0.325329385	462	0	3127.302483	338.1750657	0	1504.461538	471.17	0	2703.534247	367.7227273	0	62.75294118	656.4127907	0	3108.623731	339.4149695
8001	8001	0.316192831	0.1796875	0.28125	0.0078125	0.313856613	517	0	3004.92703	346.3994177	0	1579.596567	463.634106	0	2618.509091	374.0304878	0	62.75294118	656.4127907	0	2978.592191	348.2009365
