len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
8862	14906	4.213187276174426e-05	0.0	0.0	0.0078125	-2.7519992188063743e-05	7979.0	6044.000000000001	0.5007057237354905	931.5624157398046	6044.000000000001	0.0	931.625	6044.000000000001	0.0	931.625	6044.000000000001	93.2078431372549	920.109496124031	6044.000000000001	-0.32704308705134916	931.6658820734698
15152	33959	0.0	0.0	0.0	0.0078125	0.0015777556516098803	20533.0	18807.000000000004	0.0	2122.4375	18807.000000000004	0.0	2122.4375	18807.000000000004	0.0	2122.4375	18807.000000000004	192.59215686274507	2098.6434108527133	18807.000000000004	38.773166194153234	2117.602306391155
19360	10402	0.0	0.0	0.0	0.0078125	-0.0003728811109873028	11296.0	8958.0	0.0	1210.0	8958.0	0.0	1210.0	8958.0	0.0	1210.0	8958.0	116.71372549019607	1195.5804263565892	8958.0	-5.547809475921588	1210.693864205431
13627	17042	0.0	0.0	0.0	0.0078125	0.0007862112899100342	8513.0	3414.9999999999995	0.0	1065.125	3414.9999999999995	0.0	1065.125	3414.9999999999995	0.0	1065.125	3414.9999999999995	120.27058823529411	1050.265988372093	3414.9999999999995	12.060898232303765	1063.6191642769056
21945	8949	6.494982625921475e-05	0.0	0.0	0.0078125	0.0015647089853306731	13757.0	12996.0	1.0033125487139516	1371.4370981490501	12996.0	0.0	1371.5625	12996.0	0.0	1371.5625	12996.0	121.15294117647058	1356.594476744186	12996.0	24.188984056752716	1368.545962541216
3733	4085	0.0	0.0	0.0	0.0078125	0.008651335104100991	2188.0	351.99999999999994	0.0	255.3125	351.99999999999994	0.0	255.3125	351.99999999999994	0.0	255.3125	351.99999999999994	30.658823529411762	251.5247093023256	351.99999999999994	33.96499017784881	251.12149913764046
15025	1446	0.0	0.0	0.0	0.0078125	-0.0012713858131611425	13579.0	13579.0	0.0	939.0625	13579.0	0.0	939.0625	13579.0	0.0	939.0625	13579.0	64.5921568627451	931.0823643410853	13579.0	-10.463846071565346	940.3729783566271
3134	3046	0.0	0.0	0.0	0.0078125	-0.0005641984307388425	1598.0	87.99999999999991	0.0	195.875	87.99999999999991	0.0	195.875	87.99999999999991	0.0	195.875	87.99999999999991	24.235294117647058	192.88081395348837	87.99999999999991	-1.7428814854834866	196.0930446643303
4927	7755	0.0	0.0	0.0	0.0078125	0.00011451751694203734	4123.0	2828.0	0.0	484.6875	2828.0	0.0	484.6875	2828.0	0.0	484.6875	2828.0	49.733333333333334	478.54312015503876	2828.0	0.726197156077021	484.59674094663524
3351	1406	0.0	0.0	0.0	0.0078125	-0.004871355520445107	2077.0	1945.0	0.0	209.4375	1945.0	0.0	209.4375	1945.0	0.0	209.4375	1945.0	18.65490196078431	207.1327519379845	1945.0	-11.558366648787736	210.89290468180354
